mass_flow_323,pressure_ration_323,mass_flow_364,pressure_ration_364,mass_flow_416,pressure_ration_416,mass_flow_462,pressure_ration_462,mass_flow_482,pressure_ration_482
"0.75505","1.6289","0.81415","1.81842","1.11897","2.14102","1.24495","2.47839","1.53888","2.64892"
"0.89191","1.60793","0.93701","1.81413","1.28072","2.1096","1.42691","2.46362","1.74883","2.60495"
"1.021","1.59321","1.05832","1.80359","1.40047","2.08656","1.57154","2.43222","2.01944","2.50258"
"1.1423","1.55975","1.17652","1.78888","1.56687","2.03222","1.73639","2.3758","2.19984","2.35656"
"1.24184","1.54298","1.2465","1.78047","1.72706","1.97997","1.87636","2.32982","2.37403","2.22305"
"1.36003","1.49494","1.3196","1.75956","1.84526","1.91735","2.0521","2.24838",,
"1.47667","1.45732","1.42379","1.72404","1.95568","1.85682","2.17652","2.16284",,
"1.62286","1.40925","1.53733","1.68225","2.05832","1.80671","2.2465","2.12318",,
,,"1.6804","1.62377",,,,,,
,,"1.79082","1.57157",,,,,,
,,"1.90124","1.52771",,,,,,